folio,deleg,id_guard,guard,esq,fecha_d,fecha_m,fecha_a,hr_ini_h,hr_ini_m,hr_fin_h,hr_fin_m,edad,rechab,sat1,solinsc,internet,tramit,tmpoingr,filtroen,asistllegada,enfllegada,revdesp,revunas,limp,trato2,trato1,total_a,asistsala,nutricion,lactm1,lactm2,lactm3,vacunas,limpsalida,limpsalida2,vigilante,simulacro,alrededores,seguro1,tiempo,sala,conact,actadec,comunic1,comunic5,razon,sat2,recomen,parent,sexo,escolar,Delegacion,InscritosDiciembre2014,TipoGuard
"9,253,101",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,7,55,8,2,24,5,1,1,,1,2,1,1,1,2,1,1,1,1,10,3,97,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,3,2,9,1,1,2,7,Aguascalientes,159,1
"9,253,106",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,9,21,9,27,23,5,1,1,,1,1,1,1,1,1,2,1,1,1,15,2,97,1,1,2,1,1,1,1,1,1,2,1,7,1,1,1,7,2,10,1,2,1,7,Aguascalientes,159,1
"9,253,108",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,14,26,14,33,27,5,1,3,,,,1,1,1,2,1,1,2,2,11,2,2,1,1,2,1,2,1,1,2,2,2,1,5,1,1,1,3,4,10,1,2,1,8,Aguascalientes,159,1
"10,125,084",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,7,44,7,51,32,5,2,1,,1,2,1,1,1,1,1,1,2,2,15,2,1,3,3,2,1,1,1,1,1,1,2,1,6,2,,2,5,4,9,1,2,1,8,Aguascalientes,159,1
"10,125,088",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,8,44,8,53,48,5,2,1,,1,3,1,1,1,1,1,2,1,1,15,3,1,5,97,1,3,1,1,1,1,2,2,1,1,1,1,1,1,4,10,1,3,1,5,Aguascalientes,159,1
"10,125,092",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,14,22,14,29,36,5,1,1,,1,5,1,1,1,1,1,2,2,2,5,3,1,2,4,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,9,1,2,1,9,Aguascalientes,159,1
"10,125,093",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,14,40,14,48,25,5,1,1,,1,2,1,1,2,1,1,1,1,1,12,3,1,3,3,2,1,1,1,1,2,1,2,1,3,1,1,1,3,2,10,1,2,1,9,Aguascalientes,159,1
"10,852,106",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,7,50,7,54,40,5,1,3,,,,2,,,,,1,1,1,10,3,97,5,3,1,1,1,1,1,2,2,2,1,4,2,,2,1,2,10,1,1,2,7,Aguascalientes,159,1
"10,852,107",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,8,6,8,11,38,5,2,1,,1,4,1,1,2,1,2,2,2,2,15,2,97,7,,,1,1,1,1,2,2,2,4,7,1,1,1,3,1,8,1,2,1,9,Aguascalientes,159,1
"10,852,109",1,5,"Comunidad Infantil Papalote, S.C.",1,23,9,15,8,33,8,40,30,5,2,3,,,,2,,,,,1,2,2,12,2,97,1,2,2,1,1,2,1,2,2,2,1,7,1,1,2,1,4,10,1,2,1,7,Aguascalientes,159,1
"8,389,082",1,8,"Centro de Desarrollo Infantil Jugando, S.C.",1,21,9,15,8,17,8,23,33,5,2,1,,1,1,1,1,1,1,1,1,2,2,20,2,1,2,3,2,3,2,1,1,1,1,2,1,10,1,1,1,4,4,9,1,2,1,9,Aguascalientes,167,1
